x1,date,time,lat,lon,base,date_1
0,4/1/2014,0:11:00,40.769,-73.9549,B02512,2014-04-01
1,4/1/2014,0:17:00,40.7267,-74.0345,B02512,2014-04-01
2,4/1/2014,0:21:00,40.7316,-73.9873,B02512,2014-04-01
3,4/1/2014,0:28:00,40.7588,-73.9776,B02512,2014-04-01
4,4/1/2014,0:33:00,40.7594,-73.9722,B02512,2014-04-01
5,4/1/2014,0:33:00,40.7383,-74.0403,B02512,2014-04-01
6,4/1/2014,0:39:00,40.7223,-73.9887,B02512,2014-04-01
7,4/1/2014,0:45:00,40.762,-73.979,B02512,2014-04-01
8,4/1/2014,0:55:00,40.7524,-73.99600000000001,B02512,2014-04-01
9,4/1/2014,1:01:00,40.7575,-73.9846,B02512,2014-04-01
10,4/1/2014,1:19:00,40.7256,-73.9869,B02512,2014-04-01
11,4/1/2014,1:48:00,40.7591,-73.9684,B02512,2014-04-01
12,4/1/2014,1:49:00,40.7271,-73.9803,B02512,2014-04-01
13,4/1/2014,2:11:00,40.6463,-73.7896,B02512,2014-04-01
14,4/1/2014,2:25:00,40.7564,-73.9167,B02512,2014-04-01
15,4/1/2014,2:31:00,40.7666,-73.9531,B02512,2014-04-01
16,4/1/2014,2:43:00,40.758,-73.9761,B02512,2014-04-01
17,4/1/2014,3:22:00,40.7238,-73.9821,B02512,2014-04-01
18,4/1/2014,3:35:00,40.7531,-74.0039,B02512,2014-04-01
19,4/1/2014,3:35:00,40.7389,-74.0393,B02512,2014-04-01
20,4/1/2014,3:41:00,40.7619,-73.9715,B02512,2014-04-01
21,4/1/2014,4:11:00,40.753,-74.0042,B02512,2014-04-01
22,4/1/2014,4:15:00,40.6561,-73.9531,B02512,2014-04-01
23,4/1/2014,4:19:00,40.725,-73.9844,B02512,2014-04-01
24,4/1/2014,4:20:00,40.695,-74.1783,B02512,2014-04-01
25,4/1/2014,4:26:00,40.9859,-74.1578,B02512,2014-04-01
26,4/1/2014,4:27:00,40.6879,-74.1814,B02512,2014-04-01
27,4/1/2014,4:38:00,40.6878,-74.1816,B02512,2014-04-01
28,4/1/2014,4:47:00,40.7234,-73.9974,B02512,2014-04-01
29,4/1/2014,4:49:00,40.7336,-73.99,B02512,2014-04-01
30,4/1/2014,5:08:00,40.7141,-74.0094,B02512,2014-04-01
31,4/1/2014,5:12:00,40.7893,-73.9709,B02512,2014-04-01
32,4/1/2014,5:18:00,40.7747,-73.991,B02512,2014-04-01
33,4/1/2014,5:19:00,40.7689,-73.9876,B02512,2014-04-01
34,4/1/2014,5:23:00,40.7744,-74.0149,B02512,2014-04-01
35,4/1/2014,5:24:00,40.7393,-73.9974,B02512,2014-04-01
36,4/1/2014,5:24:00,40.7776,-73.9752,B02512,2014-04-01
37,4/1/2014,5:27:00,40.6483,-73.7829,B02512,2014-04-01
38,4/1/2014,5:34:00,40.6907,-74.1782,B02512,2014-04-01
39,4/1/2014,5:36:00,40.7217,-73.9875,B02512,2014-04-01
40,4/1/2014,5:36:00,40.7651,-73.9632,B02512,2014-04-01
41,4/1/2014,5:40:00,40.7437,-73.9985,B02512,2014-04-01
42,4/1/2014,5:43:00,40.7605,-73.97800000000001,B02512,2014-04-01
43,4/1/2014,5:44:00,40.743,-74.0301,B02512,2014-04-01
44,4/1/2014,5:44:00,40.743,-74.0301,B02512,2014-04-01
45,4/1/2014,5:49:00,40.7423,-74.0371,B02512,2014-04-01
46,4/1/2014,5:49:00,40.7236,-74.0037,B02512,2014-04-01
47,4/1/2014,5:52:00,40.7723,-73.9527,B02512,2014-04-01
48,4/1/2014,5:52:00,40.7574,-73.9862,B02512,2014-04-01
49,4/1/2014,5:53:00,40.7838,-73.9504,B02512,2014-04-01
50,4/1/2014,5:54:00,40.7711,-73.9871,B02512,2014-04-01
51,4/1/2014,5:56:00,40.7571,-73.9726,B02512,2014-04-01
52,4/1/2014,5:56:00,40.7442,-73.9854,B02512,2014-04-01
53,4/1/2014,5:58:00,40.7166,-74.0144,B02512,2014-04-01
54,4/1/2014,6:00:00,40.7507,-73.9703,B02512,2014-04-01
55,4/1/2014,6:01:00,40.7337,-73.9979,B02512,2014-04-01
56,4/1/2014,6:02:00,40.7236,-74.0111,B02512,2014-04-01
57,4/1/2014,6:03:00,40.7151,-74.0464,B02512,2014-04-01
58,4/1/2014,6:06:00,40.7701,-73.9588,B02512,2014-04-01
59,4/1/2014,6:08:00,40.86,-73.9142,B02512,2014-04-01
60,4/1/2014,6:08:00,40.7555,-73.9729,B02512,2014-04-01
61,4/1/2014,6:14:00,40.7249,-74.0355,B02512,2014-04-01
62,4/1/2014,6:14:00,40.6193,-74.157,B02512,2014-04-01
63,4/1/2014,6:15:00,40.7753,-73.97800000000001,B02512,2014-04-01
64,4/1/2014,6:15:00,40.7204,-73.9545,B02512,2014-04-01
65,4/1/2014,6:16:00,40.7772,-73.9595,B02512,2014-04-01
66,4/1/2014,6:17:00,40.7651,-74.082,B02512,2014-04-01
67,4/1/2014,6:17:00,40.74,-73.9879,B02512,2014-04-01
68,4/1/2014,6:19:00,40.7741,-73.9568,B02512,2014-04-01
69,4/1/2014,6:20:00,40.7599,-73.9944,B02512,2014-04-01
70,4/1/2014,6:21:00,40.7531,-74.0039,B02512,2014-04-01
71,4/1/2014,6:22:00,40.7791,-73.9623,B02512,2014-04-01
72,4/1/2014,6:25:00,40.7382,-74.0033,B02512,2014-04-01
73,4/1/2014,6:31:00,40.7391,-73.9989,B02512,2014-04-01
74,4/1/2014,6:31:00,40.7806,-73.982,B02512,2014-04-01
75,4/1/2014,6:32:00,40.7322,-73.9863,B02512,2014-04-01
76,4/1/2014,6:33:00,40.7703,-73.96600000000001,B02512,2014-04-01
77,4/1/2014,6:34:00,40.7221,-74.0018,B02512,2014-04-01
78,4/1/2014,6:35:00,40.7588,-73.9895,B02512,2014-04-01
79,4/1/2014,6:36:00,40.7677,-73.9656,B02512,2014-04-01
80,4/1/2014,6:37:00,40.7404,-74.0076,B02512,2014-04-01
81,4/1/2014,6:38:00,40.7679,-73.9599,B02512,2014-04-01
82,4/1/2014,6:39:00,40.7694,-73.9852,B02512,2014-04-01
83,4/1/2014,6:40:00,40.7858,-73.9546,B02512,2014-04-01
84,4/1/2014,6:40:00,40.7742,-73.9491,B02512,2014-04-01
85,4/1/2014,6:42:00,40.7703,-73.95,B02512,2014-04-01
86,4/1/2014,6:42:00,40.7614,-73.9997,B02512,2014-04-01
87,4/1/2014,6:43:00,40.793,-73.9749,B02512,2014-04-01
88,4/1/2014,6:44:00,40.7231,-73.9442,B02512,2014-04-01
89,4/1/2014,6:45:00,40.7874,-73.9545,B02512,2014-04-01
90,4/1/2014,6:47:00,40.7689,-73.9812,B02512,2014-04-01
91,4/1/2014,6:47:00,40.7789,-73.9557,B02512,2014-04-01
92,4/1/2014,6:48:00,40.7271,-74.0054,B02512,2014-04-01
93,4/1/2014,6:52:00,40.7877,-73.973,B02512,2014-04-01
94,4/1/2014,6:52:00,40.7255,-74.0092,B02512,2014-04-01
95,4/1/2014,6:54:00,40.7653,-73.9723,B02512,2014-04-01
96,4/1/2014,6:56:00,40.7644,-73.9769,B02512,2014-04-01
97,4/1/2014,6:57:00,40.7726,-73.9532,B02512,2014-04-01
98,4/1/2014,6:59:00,40.7898,-73.9661,B02512,2014-04-01
